f	CE1EL1	CE1EL2	CE2EL1	CE2EL2
247.0	-0.006981136342865779	0.0056409273965937964	-0.016065846922958617	0.009455744835035905
248.0	-0.002452711846270821	0.0019190159583500194	-0.014270460145741334	0.0062084808090576565
249.0	0.0022099466629665466	-0.0018940588325949198	-0.011524072590356864	0.002599555563379046
250.0	0.0066817182122077216	-0.005557286291111669	-0.008019986160838297	-0.00114289990259741
251.0	0.010653328166300218	-0.00884100782393552	-0.004001179102919031	-0.004784235690570923
252.0	0.013852698866569329	-0.011541285946911178	0.0002565028385171468	-0.00809796613465151
253.0	0.016063550205005963	-0.013492541837985714	0.004463242615892112	-0.010879828784365685
254.0	0.017139981096258354	-0.014577680020932673	0.008334943510384581	-0.01296034824324658
255.0	0.017016051443529082	-0.014735082829865735	0.01161238065295226	-0.014215133724916089
256.0	0.015709738565820565	-0.01396205889589178	0.014078523684376823	-0.014572286278580801
257.0	0.01332103709846114	-0.01231455607333518	0.015572875170994553	-0.014016476445049915
258.0	0.010024379405266815	-0.009903185586730959	0.016001879677638674	-0.012589463845947318
259.0	0.006055946169053223	-0.0068858358030837435	0.015344730835753932	-0.010387053571963253
260.0	0.0016967869593659428	-0.0034573663986806544	0.013654219488766607	-0.007552706225011528
261.0	-0.002747045736685619	0.00016294640349328126	0.011052603427190258	-0.004268225278662461
262.0	-0.00696594745724893	0.0037454064630135686	0.007722815421537291	-0.0007421242933101726
263.0	-0.010668296739593254	0.0070644445344791645	0.0038956385555312368	0.002803583467595375
264.0	-0.013600578651572619	0.009912795657536697	-0.0001662546305658703	0.006147337752053508
265.0	-0.01556471056318279	0.012114417629289534	-0.004186297667386002	0.009081851083811389
266.0	-0.016431388343793003	0.013535346885133944	-0.007892829689777158	0.01142693509312138
267.0	-0.01614855613401466	0.014091823840743836	-0.01103742318011911	0.013040541213587206
268.0	-0.014744447910383568	0.013755196481378238	-0.013411505434836152	0.013827340669006944
269.0	-0.012325029864347454	0.01255331731424361	-0.014860163594553166	0.013744326989848525
