f	CE1EL1	CE1EL2	CE2EL1	CE2EL2
2601.0	0.0015041803304303059	0.0003822366429721428	-0.0013748093029221644	-0.0003727693885923385
2602.0	0.0013395459689413724	0.0006726720640892513	-0.001211913454120505	-0.0006582792645470592
2603.0	0.0010813980199184153	0.0009202245553427624	-0.0009667016958949473	-0.0009022195121571708
2604.0	0.0007478539078165838	0.0011092277497665875	-0.000655917854091399	-0.0010892988616527882
2605.0	0.00036228761929378453	0.0012277403807330572	-0.00030075343443413836	-0.0012078095105226777
2606.0	-4.830825631094718e-05	0.0012683007073735811	7.459733817481223e-05	-0.0012503597955988073
2607.0	-0.00045521218103905373	0.0012283962816667334	0.0004445856293054415	-0.0012143351863913483
2608.0	-0.000829982731378535	0.0011106194844570406	0.0007840469864705409	-0.0011020588512250522
2609.0	-0.0011464465393177796	0.0009224992078494701	0.0010699128492992127	-0.0009206419408100279
2610.0	-0.0013825261646258546	0.000676019606532898	0.0012827781754652916	-0.000681533231526082
2611.0	-0.0015217802473837239	0.00038685667726525574	0.0014082186562331097	-0.00039979664772429066
2612.0	-0.0015545484999986996	7.338129659924407e-05	0.0014377681110146745	-9.316225350348109e-05
2613.0	-0.001478621803040759	-0.0002445078798837899	0.0013694898347757231	0.00021908950121085554
2614.0	-0.0012993909268309597	-0.0005466475124808339	0.0012081033437619105	0.0005173400672802546
2615.0	-0.0010294638817746973	-0.0008138884911913387	0.0009646582380791304	0.0007828653927806336
2616.0	-0.0006877790523873156	-0.0010293095514012438	0.0006557777128877921	0.0009990113889637197
2617.0	-0.00029827649528769984	-0.0011792886774165462	0.00030252350693739225	0.0011522384733000464
2618.0	0.00011177938070072287	-0.001254364457286237	-7.104021110890939e-05	0.0012329696773771197
2619.0	0.0005137082361057509	-0.0012498329248202792	-0.0004394860979015562	0.0012361891964000327
2620.0	0.0008794197429219011	-0.0011660422408856681	-0.0007777543678456843	0.001161753973417133
2621.0	0.0011833767512600853	-0.0010083667568888623	-0.001062857201064882	0.0010143989654335006
2622.0	0.0014043784817522583	-0.0007868623500117222	-0.0012754409058339908	0.0008034359944570768
2623.0	0.0015270392303411043	-0.0005156251310714755	-0.001401099679007465	0.0005421653337950718
2624.0	0.0015428594516408117	-0.00021189442018496846	-0.001431351786265994	0.00024703720960102314
2625.0	0.0014508146595955576	0.00010504292802465327	-0.0013642120155828452	-6.338392181442662e-05
2626.0	0.0012574213469596052	0.00041507721366771397	-0.0012043217708657763	-0.00036958711221588047
2627.0	0.0009762757140990375	0.0006985518306294313	-0.0009626282932870627	-0.0006523412237640459
2628.0	0.0006270978529698248	0.0009375094998982622	-0.0006556351744705959	-0.0008939027212665449
2629.0	0.00023434857738651176	0.001116829787155843	-0.00030427547130769644	-0.0010791291015804397
2630.0	-0.00017448408718744417	0.0012251858491605745	6.751563469349254e-05	-0.0011964280924529375
2631.0	-0.0005708087231348859	0.0012557598722353837	0.00043443131095128673	-0.0012384831222647366
2632.0	-0.0009269300083549448	0.0012066720152312865	0.0007715156137561764	-0.0012027096607673156
2633.0	-0.0012179840439130788	0.0010810958723640283	0.001055860849835146	-0.0010914139705605072
2634.0	-0.0014236742847487857	0.0008870533717966801	0.0012681643165997878	-0.0009116445235404747
2635.0	-0.0015296868776819436	0.0006369023604436484	0.0013940386314904166	-0.0006747456489797864
2636.0	-0.0015286867134040884	0.0003465496043224869	0.0014249867030750442	-0.00039564167674795153
2637.0	-0.0014208248834012246	3.4439322270461694e-05	0.001358975276551701	-9.189674648539829e-05
2638.0	-0.0012137224396257726	-0.000279618432194	0.0012005683430996775	0.00021739048934537992
2639.0	-0.0009219319893785563	-0.0005757051185048905	0.0009606116718018692	0.0005127877144986982
2640.0	-0.0005659151576048876	-0.0008350569835423145	0.0006554902640276862	0.0007757498467493773
2641.0	-0.00017060776231945802	-0.0010412541449751108	0.0003060095652675795	0.0009897832790076754
2642.0	0.00023632668544365298	-0.0011812601311300575	-6.402317549409005e-05	0.0011414803752645487
2643.0	0.000626432834906555	-0.00124624606575048	-0.000429420669396611	0.001221359338115807
2644.0	0.0009724532360300537	-0.0012321473930304429	-0.0007653300007862876	0.0012244568391883066
2645.0	0.001250232836832824	-0.0011399180392642465	-0.0010489229974383126	0.0011506363736672304
2646.0	0.0014404051712111868	-0.0009754661217112528	-0.0012609475893705048	0.0010045931847646357
2647.0	0.0015297425320633022	-0.0007492755226507751	-0.0013870347308161536	0.0007955556782375136
2648.0	0.0015120760019937415	-0.0004757375648744021	-0.0014186721672610056	0.0005367023119337393
2649.0	0.001388721353317506	-0.00017223539108438397	-0.0013537790591495215	0.00024433080327013223
2650.0	0.0011683814187124243	0.00014196069969147032	-0.001196842675170062	-6.31679722625948e-05
2651.0	0.0008665321524324598	0.0004469167609799616	-0.0009586081872576841	-0.00036646678979777766
2652.0	0.0005043356882186578	0.0007232998714933734	-0.0006553430061971531	-0.000646516827678771
2653.0	0.00010715673180194534	0.000953603738101899	-0.00030772602214131865	-0.0008857440158021104
2654.0	-0.00029721370349733114	0.001123257533933393	6.056240800963113e-05	-0.001069151845235392
2655.0	-0.0006805028303437375	0.0012215477398815572	0.00042445358509520475	-0.0011852614368576223
2656.0	-0.0010159328335893648	0.0012422946695334184	0.0007591968186650564	-0.0012268299414285025
2657.0	-0.0012800916233119163	0.0011842409587772872	0.0010420428601723944	-0.0011913023118993724
2658.0	-0.0014545669022497578	0.0010511275999293512	0.0012537899205613413	-0.001080968270737755
2659.0	-0.001527229498686491	0.000851452933678794	0.0013800872082538763	-0.0009028148342989313
2660.0	-0.0014930765191685732	0.000597930121554995	0.0014124074971477263	-0.0006680838869831296
2661.0	-0.0013545757127685703	0.00030667773149221824	0.0013486228148737187	-0.0003915628179508933
2662.0	-0.0011214873496447296	-3.805031724834186e-06	0.0011931443886652718	-9.065297967338277e-05
2663.0	-0.0008101764579409895	-0.0003138133008533174	0.0009566176565670745	0.00021572535002321424
2664.0	-0.000442463879074759	-0.0006036870984919696	0.0006551934250820611	0.0005083225948751288
2665.0	-4.40968031790471e-05	-0.0008550581034842755	0.00030942507095622966	0.0007687692987158393
2666.0	0.0003570540144738493	-0.0010520135672826803	-5.713291449285675e-05	0.0009807293512363426
2667.0	0.0007329441298057854	-0.001182103629625629	-0.00041952948057418003	0.001130924623339675
2668.0	0.0010573159651783592	-0.0012371282694036334	-0.0007531153699689062	0.0012099667461482062
2669.0	0.0013075329855422296	-0.0012136541493862332	-0.001035219668480386	0.0012129439301251802
2670.0	0.001466159374564945	-0.0011132287801959339	-0.001246690521061485	0.0011397261469165455
2671.0	0.0015221749762633428	-0.0009422786485610679	-0.0013731953088913342	0.0009949697149691237
2672.0	0.001471740846440142	-0.000711698007053007	-0.0014061920232842496	0.0007878212260458981
2673.0	0.0013184622355470754	-0.0004361546349524475	-0.001343506005027963	0.000531339635627147
2674.0	0.0010731309956837362	-0.00013315680915974143	-0.0011894731119036159	0.00024167302955104559
2675.0	0.0007529658079703985	0.00017805916558881173	-0.0009546398998496388	-6.295803812330847e-05
2676.0	0.00038040371687345906	0.00047775018266000484	-0.0006550415442654589	-0.0003634066296891918
2677.0	-1.847221673544643e-05	0.0007469187868982129	-0.0003111069365403912	-0.0006408028426831044
2678.0	-0.0004157589588242129	0.000968517404295452	5.3734284773223175e-05	-0.0008777389274162773
2679.0	-0.000783685404867391	0.0011285280144180169	0.00041464778878836164	-0.0010593616735814564
2680.0	-0.0010965536025270353	0.0012168488881747124	0.0007470849698329559	-0.0011743035168422288
2681.0	-0.0013325336034541036	0.0012279323000025397	0.0010284526666321256	-0.001215393998263034
2682.0	-0.0014751865864560528	0.0011611329580043963	0.0012396486159103885	-0.0011801070501037366
2683.0	-0.0015146099825898464	0.0010207452711599502	0.0013663582913261353	-0.0010707162087446064
2684.0	-0.0014481248354311935	0.0008157273222458881	0.0014000250881726836	-0.0008941482228269765
2685.0	-0.0012804576886316183	0.0005591292850527618	0.0013384281005046578	-0.0006615444770634455
2686.0	-0.0010234046627959146	0.00026726275468918033	0.001185828479785014	-0.0003875579986693093
2687.0	-0.0006950015897330168	-4.1336136732501825e-05	0.0009526747403631618	-8.943040202726421e-05
2688.0	-0.00031825858273389806	-0.00034708390847872886	0.0006548873868233667	0.00021409308268111255
2689.0	8.045217442907671e-05	-0.0006305924644082941	0.00031277183961986326	0.0005039422236886458
2690.0	0.00047324246188997025	-0.0008738985107175063	-5.036611608698061e-05	0.0007619199401490543
2691.0	0.000832658662486576	-0.0010616017010159535	-0.00040980795288643153	0.0009718447162212941
2692.0	0.0011336005698633336	-0.0011818393977977193	-0.0007411049456700798	0.0011205655571868778
2693.0	0.0013550742572660866	-0.0012270363543824471	-0.0010217411124157426	0.001198785827641262
2694.0	0.0014816565978516341	-0.0011943819412630582	-0.0012326634439830762	0.0012016443641625998
2695.0	0.0015045692748739423	-0.0010860048544859445	-0.0013595754273657828	0.0011290175399899674
2696.0	0.0014222874940856695	-0.000908834451003892	-0.0013939060460033562	0.0009855235146069643
2697.0	0.0012406411922428501	-0.0006741577373970885	-0.0013333885815740667	0.0007802286223082495
2698.0	0.000972402043339016	-0.00039690033262205316	-0.0011822101336465538	0.0005260745639985389
2699.0	0.0006363855138245911	-9.467720939161918e-05	-0.0009507220044352646	0.00023906259038217168
