f	gamma
460.0	-0.023884280472342433
461.0	-0.023738121717653007
462.0	-0.023574980578900548
463.0	-0.02339505180492519
464.0	-0.023198541473954868
465.0	-0.022985666812148364
466.0	-0.022756656004651384
467.0	-0.022511747999311903
468.0	-0.022251192303206543
469.0	-0.02197524877213513
470.0	-0.021684187393244608
471.0	-0.021378288060948956
472.0	-0.021057840346316446
473.0	-0.02072314326009954
474.0	-0.020374505009587814
475.0	-0.020012242749468064
476.0	-0.0196366823268803
477.0	-0.019248158020861623
478.0	-0.018847012276375075
479.0	-0.01843359543312288
480.0	-0.018008265449347666
481.0	-0.017571387620829354
482.0	-0.01712333429528696
483.0	-0.016664484582399525
484.0	-0.016195224059661777
485.0	-0.015715944474294124
486.0	-0.015227043441428249
487.0	-0.014728924138792506
488.0	-0.014221994998123558
489.0	-0.013706669393532761
490.0	-0.013183365327057474
491.0	-0.012652505111629934
492.0	-0.012114515051697068
493.0	-0.011569825121726648
494.0	-0.011018868642836275
495.0	-0.010462081957782688
496.0	-0.009899904104549972
497.0	-0.009332776488775299
498.0	-0.008761142555252864
499.0	-0.008185447458755065
500.0	-0.00760613773441189
501.0	-0.0070236609678886175
502.0	-0.006438465465601541
503.0	-0.00585099992521243
504.0	-0.005261713106639497
505.0	-0.004671053503825101
506.0	-0.004079469017496817
507.0	-0.0034874066291583476
508.0	-0.002895312076546859
509.0	-0.0023036295307891784
510.0	-0.001712801275490727
511.0	-0.0011232673879872199
512.0	-0.000535465422987688
513.0	5.016990116358134e-05
514.0	0.0006332070133824893
515.0	0.0012132177976757294
516.0	0.0017897778976859661
517.0	0.002362467017736989
518.0	0.002930869220162185
519.0	0.003494573218707834
520.0	0.004053172667802078
521.0	0.004606266447485619
522.0	0.005153458943803686
523.0	0.00569436032446118
524.0	0.006228586809548732
525.0	0.006755760937148786
526.0	0.0072755118236376625
527.0	0.007787475418501079
528.0	0.008291294753487173
529.0	0.008786620185923846
530.0	0.009273109636032933
531.0	0.009750428818077589
532.0	0.01021825146518506
533.0	0.010676259547690525
534.0	0.011124143484854403
535.0	0.011561602349809137
536.0	0.011988344067597433
537.0	0.01240408560617012
538.0	0.012808553160214333
539.0	0.013201482327692787
540.0	0.013582618278975401
541.0	0.013951715918454574
542.0	0.014308540038538502
543.0	0.014652865465923651
544.0	0.014984477200053607
545.0	0.015303170543676825
546.0	0.015608751225422832
547.0	0.015901035514320924
548.0	0.016179850326193575
549.0	0.016445033321860873
550.0	0.01669643299710028
551.0	0.0169339087643106
