f	aligned	misaligned
162.0	0.05175054191870303	0.0350536582532927
163.0	0.050183620626096596	0.03539037932685699
164.0	0.04849437197767571	0.035627767646175874
165.0	0.04669067067938775	0.035766435689328795
166.0	0.04478055283747487	0.03580723020589231
167.0	0.0427721907026827	0.035751229250204256
168.0	0.040673867482764706	0.035599738631596094
169.0	0.03849395228801506	0.03535428779025408
170.0	0.03624087527342094	0.03501662510896983
171.0	0.03392310303973547	0.03458871267261607
172.0	0.0315491143543314	0.03407272048873182
173.0	0.029127376251105026	0.033471020184112195
174.0	0.02666632056697655	0.032786178193774225
175.0	0.024174320970674127	0.03202094846010175
176.0	0.021659670537498125	0.03117826466135679
177.0	0.019130559921658206	0.030261231990078425
178.0	0.01659505617555493	0.02927311850316966
179.0	0.014061082263044773	0.02821734606668952
180.0	0.01153639731130435	0.027097480919524852
181.0	0.009028577643387506	0.025917223881206077
182.0	0.006544998630962202	0.02468040023014857
183.0	0.004092817404034936	0.023390949279548986
184.0	0.0016789564517178009	0.022052913679035672
185.0	-0.0006899118547160667	0.02067042847096367
186.0	-0.00300737978811233	0.019247709930953063
187.0	-0.005267317815576246	0.017789044222899127
188.0	-0.007463887149951897	0.016298775899219832
189.0	-0.009591551283087207	0.014781296277561633
190.0	-0.011645086484325176	0.013241031725549024
191.0	-0.013619591250667598	0.01168243188543669
192.0	-0.015510494698064488	0.010109957870706777
193.0	-0.01731356388628514	0.008528070466745415
194.0	-0.019024910072816023	0.006941218367731897
195.0	-0.020640993894199877	0.0053538264817806665
196.0	-0.022158629476170102	0.0037702843361905837
197.0	-0.023574987476836624	0.002194934614379811
198.0	-0.02488759707003958	0.0006320618557151565
199.0	-0.02609434687879404	-0.0009141186510131104
200.0	-0.027193484871497274	-0.002439471750267085
201.0	-0.02818361723625432	-0.003939953049019455
202.0	-0.029063706251288	-0.005411619263746037
203.0	-0.029833067171931515	-0.006850638257108073
204.0	-0.030491364157150504	-0.008253298737166952
205.0	-0.031038605260896676	-0.00961601959293637
206.0	-0.031475136515856976	-0.01093535884111876
207.0	-0.03180163513932117	-0.012208022159986346
208.0	-0.0320191018929427	-0.01343087098754968
209.0	-0.03212885263011065	-0.014600930162406607
210.0	-0.03213250906647607	-0.01571539508697813
211.0	-0.03203198881088448	-0.01677163839420731
212.0	-0.03182949469555023	-0.017767216100225282
213.0	-0.03152750344576851	-0.01869987322696428
214.0	-0.03112875373079084	-0.019567548880222555
215.0	-0.030636233638690176	-0.020368380770249293
216.0	-0.03005316761910818	-0.021100709163522594
217.0	-0.029383002938710153	-0.02176308025602708
218.0	-0.028629395694970042	-0.022354248960001218
219.0	-0.02779619643456726	-0.022873181097810353
220.0	-0.026887435423201864	-0.023319054998304597
221.0	-0.025907307614019125	-0.023691262492737487
222.0	-0.024860157362085928	-0.023989409309044408
223.0	-0.023750462932473806	-0.024213314865007888
224.0	-0.022582820849481884	-0.02436301146255918
225.0	-0.021361930134380057	-0.02443874288718289
226.0	-0.02009257647876368	-0.024440962418095097
227.0	-0.01877961640019709	-0.024370330256550474
228.0	-0.017427961426279795	-0.024227710381297247
229.0	-0.016042562352601573	-0.024014166841834297
230.0	-0.01462839361926491	-0.023730959501726507
231.0	-0.013190437849748616	-0.023379539245800444
232.0	-0.011733670594864739	-0.02296154266656507
233.0	-0.010263045323434038	-0.022478786246678685
234.0	-0.008783478700070142	-0.021933260055709912
235.0	-0.00729983618912668	-0.021327120980809928
236.0	-0.005816918022430222	-0.020662685512224763
237.0	-0.004339445566901943	-0.019942422105825947
238.0	-0.0028720481265597612	-0.019168943146017352
239.0	-0.001419250211707069	-0.018344996533488703
240.0	1.454069364866667e-05	-0.017473456923323874
241.0	0.0014250458369369466	-0.0165573166399325
242.0	0.0028081263474069064	-0.015599676296156103
243.0	0.0041597938063862375	-0.014603735144698865
244.0	0.005476220214051055	-0.013572781190749844
245.0	0.006753747331388681	-0.012510181095291638
246.0	0.007988895378119193	-0.011419369899132004
247.0	0.009178371069457233	-0.010303840598146024
248.0	0.010319074976736805	-0.00916713360057725
249.0	0.011408108199082136	-0.00801282609751406
250.0	0.012442778335479777	-0.006844521377834089
251.0	0.013420604748787103	-0.0056658381189909094
252.0	0.01433932311538942	-0.004480399685008124
253.0	0.01519688925639134	-0.0032918234629412137
254.0	0.015991482248387083	-0.0021037102688715196
255.0	0.016721506813995084	-0.0009196338542086066
256.0	0.017385594994458548	0.00025686945730237854
257.0	0.017982607108699238	0.0014223109719410131
258.0	0.01851163200526053	0.002573259638369101
259.0	0.01897198661558343	0.0037063518412585907
260.0	0.01936321481901931	0.00481830094819215
261.0	0.01968508563189074	0.005905906582647799
262.0	0.019937590734761847	0.0069660635967689
263.0	0.020120941353868178	0.007995770718588022
264.0	0.020235564514376612	0.008992138849412286
265.0	0.02028209868479657	0.009952398988188617
266.0	0.020261388833438598	0.010873909760845377
267.0	0.020174480919312364	0.011754164533847058
268.0	0.020022615841269666	0.012590798092498816
269.0	0.019807222870525873	0.013381592865894429
270.0	0.01952991259293187	0.014124484681807069
271.0	0.019192469388516317	0.014817568036276606
272.0	0.018796843476870863	0.015459100864143645
273.0	0.01834514255790932	0.01604750879831451
274.0	0.017839623078390137	0.016581388907108332
275.0	0.017282681155352878	0.017059512900633268
276.0	0.016676843188277654	0.017480829798757855
277.0	0.016024756192335878	0.017844468054880408
278.0	0.01532917788555478	0.018149737131350995
279.0	0.01459296656307366	0.018396128524058915
