f	3ETcryo10	3ETcryo15	3ETamb10	3ETamb15	3ET2CEcryo10	3ET2CEamb10	3ET2CEcryo15	3ET2CEamb15	2ETcryo15al	2ETcryo15misal	2ETamb15al	2ETamb15misal	2ETcryo20al	2ETcryo20misal	2ETamb20al	2ETamb20misal	2ET2CEcryo15al	2ET2CEcryo15misal	2ET2CEamb15al	2ET2CEamb15misal	2ET2CEcryo20al	2ET2CEcryo20misal	2ET2CEamb20al	2ET2CEamb20misal
56	3.980676561683838e-12	2.0414934473426116e-12	5.3596204269099305e-12	2.5615734416199996e-12	0.0	0.0	0.0	0.0	2.8873810138228144e-12	2.8873810138228144e-12	3.0915804249330156e-12	3.0915804249330156e-12	1.7718318593347667e-12	1.7718318593347667e-12	1.8438798126187835e-12	1.8438798126187835e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	4.1241129301373695e-12	2.115054914035761e-12	5.455327934533322e-12	2.6073158245060712e-12	0.0	0.0	0.0	0.0	2.9914224853030374e-12	2.9914224853030374e-12	3.202979847132452e-12	3.202979847132452e-12	1.8356765660008474e-12	1.8356765660008474e-12	1.9103206349484784e-12	1.9103206349484784e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	4.270087995377689e-12	2.1899183535907356e-12	5.551035442156713e-12	2.6530582073921425e-12	0.0	0.0	0.0	0.0	3.109178603414512e-12	3.109178603414512e-12	3.316350940521258e-12	3.316350940521258e-12	1.905142252971894e-12	1.905142252971894e-12	1.9779374010362207e-12	1.9779374010362207e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	4.4186017574047964e-12	2.266083766007536e-12	5.6467429497801056e-12	2.6988005902782142e-12	0.0	0.0	0.0	0.0	3.2727868731327097e-12	3.2727868731327097e-12	3.431693705099435e-12	3.431693705099435e-12	2.0053928552478307e-12	2.0053928552478307e-12	2.046730110882011e-12	2.046730110882011e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60	4.569654216218692e-12	2.3435511512861615e-12	5.742450457403497e-12	2.7445429731642855e-12	0.0	0.0	0.0	0.0	3.4420362578290145e-12	3.4420362578290145e-12	3.5490081408669823e-12	3.5490081408669823e-12	2.109100038141832e-12	2.109100038141832e-12	2.1187176147327385e-12	2.1187176147327385e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61	4.723245371819375e-12	2.422320509426613e-12	5.8381579650268884e-12	2.7902853560503564e-12	0.0	0.0	0.0	0.0	3.617022369621701e-12	3.617022369621701e-12	3.6682942478239e-12	3.6682942478239e-12	2.21632238776607e-12	2.21632238776607e-12	2.2264289023594984e-12	2.2264289023594984e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	4.879375224206848e-12	2.5023918404288907e-12	5.933865472650281e-12	2.836027738936428e-12	0.0	0.0	0.0	0.0	3.7978408206290435e-12	3.7978408206290435e-12	3.828376616914667e-12	3.828376616914667e-12	2.3271184902327158e-12	2.3271184902327158e-12	2.3377302392778895e-12	2.3377302392778895e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63	5.038043773381108e-12	2.583765144292993e-12	6.029572980273672e-12	2.8817701218224994e-12	0.0	0.0	0.0	0.0	3.9845872229693125e-12	3.9845872229693125e-12	4.0166245171765864e-12	4.0166245171765864e-12	2.441546931653938e-12	2.441546931653938e-12	2.452680478754986e-12	2.452680478754986e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	5.1992510193421576e-12	2.6664404210189222e-12	6.1252804878970635e-12	2.927512504708571e-12	0.0	0.0	0.0	0.0	4.177357188760784e-12	4.177357188760784e-12	4.210944412173469e-12	4.210944412173469e-12	2.55966629814191e-12	2.55966629814191e-12	2.571338474057866e-12	2.571338474057866e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	5.362996962089993e-12	2.750417670606676e-12	6.220987995520455e-12	2.9732548875946424e-12	0.0	0.0	0.0	0.0	4.376246330121727e-12	4.376246330121727e-12	4.4114326827741195e-12	4.4114326827741195e-12	2.6815351758087992e-12	2.6815351758087992e-12	2.6937630784536032e-12	2.6937630784536032e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66	5.5292816016246164e-12	2.8356968930562553e-12	6.316695503143846e-12	3.0189972704807137e-12	0.0	0.0	0.0	0.0	4.581350259170418e-12	4.581350259170418e-12	4.618185709847349e-12	4.618185709847349e-12	2.8072121507667784e-12	2.8072121507667784e-12	2.8200131452092744e-12	2.8200131452092744e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67	5.69810493794603e-12	2.9222780883676612e-12	6.4124030107672385e-12	3.0647396533667854e-12	0.0	0.0	0.0	0.0	4.792764588025129e-12	4.792764588025129e-12	4.831299874261967e-12	4.831299874261967e-12	2.936755809128018e-12	2.936755809128018e-12	2.950147527591957e-12	2.950147527591957e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68	5.8694669710542304e-12	3.010161256540892e-12	6.50811051839063e-12	3.1104820362528567e-12	0.0	0.0	0.0	0.0	5.0105849288041324e-12	5.0105849288041324e-12	5.050871556886779e-12	5.050871556886779e-12	3.0702247370046874e-12	3.0702247370046874e-12	3.0842250788687234e-12	3.0842250788687234e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	6.043367700949221e-12	3.0993463975759493e-12	6.603818026014022e-12	3.1562244191389283e-12	0.0	0.0	0.0	0.0	5.234906893625703e-12	5.234906893625703e-12	5.2769971385905995e-12	5.2769971385905995e-12	3.2076775205089595e-12	3.2076775205089595e-12	3.222304652306654e-12	3.222304652306654e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
